,d,p,n_LU,tim_Kd,Nc,rel_Lp,rel_K,tim_Lp,tim_K
0,3,150,197.0,0.4084157943725586,4,"(0.8719978037499863, 0.8719978037499841)",0.8719978037499839,0.527318000793457,0.5054876804351807
1,3,150,197.0,0.4084157943725586,8,"(0.8719978037499848, 0.8719978037499848)",0.8719978037499839,0.53993821144104,0.5748293399810791
2,3,150,197.0,0.4084157943725586,12,"(0.8719978037499847, 0.8719978037499847)",0.8719978037499839,0.6029665470123291,0.6434147357940674
3,3,150,197.0,0.4084157943725586,16,"(0.8719978037499847, 0.8719978037499847)",0.8719978037499839,0.5999162197113037,0.7094016075134277
4,3,150,197.0,0.4084157943725586,20,"(0.8719978037499847, 0.8719978037499847)",0.8719978037499839,0.6078743934631348,0.8004939556121826
5,3,150,197.0,0.4084157943725586,24,"(0.8719978037499847, 0.8719978037499847)",0.8719978037499839,0.6293337345123291,0.8950111865997314
6,3,150,197.0,0.4084157943725586,28,"(0.8719978037499847, 0.8719978037499847)",0.8719978037499839,0.5998573303222656,0.9664828777313232
7,5,686,975.0,1.755476951599121,4,"(0.6622214489093617, 0.6622214489093636)",0.662221448909361,1.534531593322754,1.7632598876953125
8,5,686,975.0,1.755476951599121,8,"(0.662221448909362, 0.6622214489093609)",0.662221448909361,1.1084372997283936,1.3502633571624756
9,5,686,975.0,1.755476951599121,12,"(0.6622214489093614, 0.6622214489093612)",0.662221448909361,1.1265764236450195,1.2277369499206543
10,5,686,975.0,1.755476951599121,16,"(0.6622214489093614, 0.662221448909361)",0.662221448909361,1.1289472579956055,1.2769460678100586
11,5,686,975.0,1.755476951599121,20,"(0.6622214489093614, 0.662221448909361)",0.662221448909361,1.1377522945404053,1.3407609462738037
12,5,686,975.0,1.755476951599121,24,"(0.6622214489093614, 0.662221448909361)",0.662221448909361,1.1365077495574951,1.4361464977264404
13,5,686,975.0,1.755476951599121,28,"(0.6622214489093614, 0.662221448909361)",0.662221448909361,1.1255311965942383,1.4629404544830322
14,7,2052,3038.0,5.363739013671875,4,"(0.40813785899889576, 0.40813785899890026)",0.4081378589988983,8.51680040359497,16.046714544296265
15,7,2052,3038.0,5.363739013671875,8,"(0.408137858998899, 0.4081378589988977)",0.4081378589988983,5.155774354934692,9.673798322677612
16,7,2052,3038.0,5.363739013671875,12,"(0.40813785899889893, 0.40813785899889693)",0.4081378589988983,4.651477575302124,6.686756372451782
17,7,2052,3038.0,5.363739013671875,16,"(0.4081378589988989, 0.408137858998897)",0.4081378589988983,4.6306657791137695,6.189047336578369
18,7,2052,3038.0,5.363739013671875,20,"(0.4081378589988989, 0.408137858998897)",0.4081378589988983,4.627798557281494,5.965416193008423
19,7,2052,3038.0,5.363739013671875,24,"(0.4081378589988989, 0.408137858998897)",0.4081378589988983,4.639338731765747,5.7117228507995605
20,7,2052,3038.0,5.363739013671875,28,"(0.4081378589988989, 0.408137858998897)",0.4081378589988983,4.629063844680786,5.541364669799805
21,9,4840,7350.0,12.760936737060547,4,"(0.1890588835627313, 0.18905888356273726)",0.18905888356273687,40.476072788238525,114.44081616401672
22,9,4840,7350.0,12.760936737060547,8,"(0.18905888356273592, 0.18905888356273437)",0.18905888356273687,25.087819576263428,57.02286076545715
23,9,4840,7350.0,12.760936737060547,12,"(0.1890588835627355, 0.1890588835627344)",0.18905888356273687,23.08011031150818,43.879173278808594
24,9,4840,7350.0,12.760936737060547,16,"(0.18905888356273537, 0.18905888356273437)",0.18905888356273687,22.9116849899292,35.512042760849
25,9,4840,7350.0,12.760936737060547,20,"(0.18905888356273537, 0.18905888356273437)",0.18905888356273687,23.372480869293213,31.792572498321533
26,9,4840,7350.0,12.760936737060547,24,"(0.18905888356273537, 0.18905888356273437)",0.18905888356273687,23.424752712249756,32.801406145095825
27,9,4840,7350.0,12.760936737060547,28,"(0.18905888356273537, 0.18905888356273437)",0.18905888356273687,23.052277088165283,30.597550868988037
